Unnamed: 0,Day 1,Day 5,Day 10,Day 16,Day 21,Day 24,Day 32,Day 40,Final,Unnamed: 10
,,,,,,,,,,
Kai,Tanyel,Anna-May,Tanyel,Samie,Olivia,Olivia,Sanam,Sanam,Winner (Day 58),
Sanam,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Kai,Kai,Winner (Day 58),
Lana,Ron,Will,Aaron,Aaron,Casey,Ron,Ron,Ron,Runner-Up (Day 58),
Ron,Lana,Tanyel,Ellie,Tanyel,Tanyel,Lana,Lana,Lana,Runner-Up (Day 58),
Samie,Not in Villa,Not in Villa,Not in Villa,Kai,Tom,Tom,Tom,Tom,3rd Place (Day 58),
Tom,,Zara,Zara,Ellie,Samie,Samie,Samie,Samie,3rd Place (Day 58),
Shaq,Tanya,Tanya,Tanya,Tanya,Tanya,Tanya,,Tanya,4th Place (Day 58),
Tanya,Shaq,Shaq,Shaq,Shaq,Shaq,Shaq,Martin,Shaq,4th Place (Day 58),
Jessie,Not in Villa,Not in Villa,Will,Will,Will,Will,Will,Will,Dumped (Day 56),
Will,Olivia,Lana,Jessie,Jessie,Jessie,Jessie,Jessie,Jessie,Dumped (Day 56),
Casey,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Lana,Claudia,Claudia,Rosie,Dumped (Day 51),
Rosie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Casey,Dumped (Day 51),
Claudia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Casey,Casey,Keanan,Dumped (Day 45),
Keanan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Claudia,Dumped (Day 45),
Maxwell,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Olivia,Olivia,Dumped (Day 45),
Olivia,Will,Haris,Spencer,Spencer,Kai,Kai,Maxwell,Maxwell,Dumped (Day 45),
Martin,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tanya,Dumped (Day 40),Dumped (Day 40),
Bayley,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Cynthia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Frankie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Kain,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Layla,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Lydia,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Lynda,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Ryan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Sammy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 32),Dumped (Day 32),Dumped (Day 32),
Ellie,Not in Villa,Not in Villa,Ron,Tom,Jordan,Jordan,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Jordan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ellie,Ellie,Dumped (Day 26),Dumped (Day 26),Dumped (Day 26),
Tanyel,Kai,Ron,Kai,Ron,Ron,Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),Dumped (Day 24),
Aaron,Not in Villa,Not in Villa,Lana,Lana,Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),
Spencer,Not in Villa,Not in Villa,Olivia,Olivia,Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),Dumped (Day 19),
Zara,Not in Villa,Tom,Tom,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16)
Anna-May,Haris,Kai,Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),
Haris,Anna-May,Olivia,Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),Dumped (Day 9),
David,Not in Villa,Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),
,,,,,,,,,,
Notes,1,,2,,,,3,4,,
