beta,seed,mean_gene,gene_diversity
0.0,0,1.121849313973293,0.6939177712039711
0.0,1,0.7956706809019213,0.651538511622165
0.0,2,1.2956025560211455,0.5887394231797124
0.0,3,1.757365781535138,0.6815156828567019
0.0,4,1.469719135994517,0.9262496334842856
0.5,0,0.53172428588721,0.4347940302031274
0.5,1,1.625657306892965,0.7804953077151643
0.5,2,1.2754791767085587,0.6922495193606851
0.5,3,1.2360537360613164,0.7580116900691538
0.5,4,0.6235548030111633,0.3979044606498957
1.0,0,0.7920076394759731,0.6686033449583807
1.0,1,1.111205350301105,0.6630341905219463
1.0,2,0.8216003851189649,0.6665419052248039
1.0,3,0.74930363804435,0.6027102911642115
1.0,4,1.2235623848119752,0.5545573100351189
2.0,0,1.0521946015318902,0.6194440802123591
2.0,1,1.4486079614397964,0.5197767985547849
2.0,2,1.2046253594013328,0.9190278347119968
2.0,3,1.0135401921687581,0.7213734765512676
2.0,4,0.8144424254416085,0.3868957607476594
3.0,0,1.0100055146911315,0.7414362785341846
3.0,1,2.0592164175648913,0.6049962988230118
3.0,2,1.7199396167580434,0.5006590968127004
3.0,3,1.3844370912591315,0.38072920277336825
3.0,4,0.4755712939362116,0.3428957317353267
5.0,0,2.0561681296555654,0.6780340999838544
5.0,1,1.6674046583971234,0.4918585957957144
5.0,2,1.894591375965052,0.2916557003768652
5.0,3,1.2649098221806903,0.34390920651610785
5.0,4,1.488757996470023,0.30806335092180415
