Unnamed: 0,Day 1,Day 6,Day 13,Day 20,Day 32,Day 37,Day 40,Final
,,,,,,,,
Cara,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Winner (Day 45)
Nathan,Cara,Cara,Cara,Cara,Cara,Cara,Cara,Winner (Day 45)
Alex,Not in Villa,Not in Villa,Not in Villa,Olivia,Olivia,Olivia,Olivia,Runner-Up (Day 45)
Olivia,Daniel,Rykard,Adam M,Alex,Alex,Alex,Alex,Runner-Up (Day 45)
Kady,Not in Villa,Scott,Scott,Scott,Scott,Scott,Scott,3rd Place (Day 45)
Scott,Zara,Kady,Kady,Kady,Kady,Kady,Kady,3rd Place (Day 45)
Adam M,Not in Villa,Not in Villa,Olivia,Zara,Liana,Tina,Katie,4th Place (Day 45)
Katie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Sophie,Adam M,4th Place (Day 45)
Emma,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Terry,Terry,Terry,Dumped (Day 41)
Terry,Not in Villa,Malin,Malin,Malin,Emma,Emma,Emma,Dumped (Day 41)
Adam J,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Lauren,Lauren,Dumped (Day 41)
Lauren,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Adam J,Adam J,Dumped (Day 41)
Tina,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Troy,Adam M,Dumped (Day 40),Dumped (Day 40)
Sophie,Tom,Tom,Tom,Tom,Tom,Katie,Walked (Day 39),Walked (Day 39)
Troy,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Tina,Dumped (Day 37),Dumped (Day 37),Dumped (Day 37)
Tom,Sophie,Sophie,Sophie,Sophie,Sophie,Dumped (Day 33),Dumped (Day 33),Dumped (Day 33)
Liana,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Adam M,Dumped (Day 33),Dumped (Day 33),Dumped (Day 33)
Oliver,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 31),Dumped (Day 31),Dumped (Day 31),Dumped (Day 31)
Malin,Rykard,Terry,Terry,Terry,Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25)
Zara,Scott,Daniel,Daniel,Adam M,Walked (Day 22),Walked (Day 22),Walked (Day 22),Walked (Day 22)
James,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 20),Dumped (Day 20),Dumped (Day 20),Dumped (Day 20),Dumped (Day 20)
Rykard,Malin,Olivia,Rachel,Walked (Day 15),Walked (Day 15),Walked (Day 15),Walked (Day 15),Walked (Day 15)
Daniel,Olivia,Zara,Zara,Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15)
Rachel,Not in Villa,Not in Villa,Rykard,Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15),Dumped (Day 15)
Malia,Not in Villa,Not in Villa,Removed (Day 7),Removed (Day 7),Removed (Day 7),Removed (Day 7),Removed (Day 7),Removed (Day 7)
Javi,,Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6),Dumped (Day 6)
,,,,,,,,
Notes,,1,,,,2,3,
